epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,9689.28,0.69066,0.57672,1.09392,0.92331,0.87871,0.9331,0.6692,1.21866,0.92355,1.55121,0.000870577,0.000870577,0.000870577
125,9768.04,0.696,0.58036,1.10291,0.92531,0.87908,0.93231,0.6698,1.21935,0.92384,1.55269,0.000815947,0.000815947,0.000815947
126,9846.22,0.68278,0.56013,1.09536,0.93149,0.8739,0.9323,0.66926,1.22014,0.92347,1.55424,0.000763174,0.000763174,0.000763174
127,9924.14,0.69062,0.56747,1.09457,0.92446,0.87981,0.93269,0.66953,1.22079,0.92578,1.55558,0.000712282,0.000712282,0.000712282
128,10002.6,0.67235,0.55919,1.0893,0.92548,0.87937,0.93247,0.67135,1.22083,0.91896,1.55784,0.000663292,0.000663292,0.000663292
129,10080.8,0.67049,0.55136,1.08627,0.9265,0.8788,0.93215,0.67259,1.22069,0.91934,1.55889,0.000616227,0.000616227,0.000616227
130,10159,0.67029,0.54829,1.08843,0.9238,0.87691,0.93164,0.67292,1.21982,0.91927,1.55993,0.000571106,0.000571106,0.000571106
131,10237.6,0.66732,0.55076,1.08529,0.92369,0.87691,0.93174,0.67278,1.21902,0.91628,1.56131,0.00052795,0.00052795,0.00052795
132,10315.9,0.65889,0.54726,1.08125,0.92663,0.87691,0.93203,0.67297,1.21914,0.91454,1.56337,0.000486777,0.000486777,0.000486777
133,10394.6,0.6682,0.56834,1.09027,0.92724,0.878,0.93231,0.67347,1.21982,0.91549,1.56462,0.000447606,0.000447606,0.000447606
134,10473.6,0.66025,0.55077,1.08496,0.92844,0.8762,0.93202,0.67484,1.22058,0.90967,1.56729,0.000410454,0.000410454,0.000410454
135,10552.1,0.65211,0.54186,1.08053,0.9278,0.878,0.93215,0.67486,1.22054,0.91044,1.56841,0.000375337,0.000375337,0.000375337
136,10630.4,0.66363,0.54315,1.08366,0.92664,0.878,0.93235,0.67476,1.21944,0.90802,1.56867,0.00034227,0.00034227,0.00034227
137,10708.5,0.64812,0.53206,1.07903,0.92755,0.87908,0.93263,0.6756,1.21866,0.90929,1.56904,0.000311268,0.000311268,0.000311268
138,10786.5,0.64341,0.52863,1.07633,0.9291,0.88235,0.93308,0.67645,1.21849,0.91423,1.5691,0.000282345,0.000282345,0.000282345
139,10864.4,0.65648,0.54489,1.08253,0.929,0.88453,0.9332,0.67669,1.21784,0.91454,1.56898,0.000255513,0.000255513,0.000255513
140,10942.3,0.64475,0.53774,1.07602,0.92896,0.88562,0.93322,0.67684,1.21781,0.90999,1.57084,0.000230784,0.000230784,0.000230784
141,11022.1,0.63678,0.39598,1.03995,0.92924,0.88688,0.9332,0.67629,1.2174,0.91123,1.5714,0.000208169,0.000208169,0.000208169
142,11099.6,0.57957,0.35116,1.00084,0.93031,0.88705,0.93376,0.67619,1.21782,0.913,1.57145,0.000187678,0.000187678,0.000187678
143,11176.8,0.56128,0.34144,0.98807,0.92923,0.8878,0.93372,0.67626,1.21771,0.91226,1.57237,0.00016932,0.00016932,0.00016932
144,11253.9,0.55407,0.33255,0.98021,0.92916,0.88579,0.93413,0.67591,1.2167,0.91093,1.57371,0.000153102,0.000153102,0.000153102
145,11331.1,0.54692,0.33276,0.97811,0.92806,0.8878,0.93435,0.67615,1.21645,0.90872,1.57519,0.000139032,0.000139032,0.000139032
146,11408.3,0.54002,0.3283,0.97361,0.92822,0.8878,0.93471,0.67674,1.21558,0.90298,1.57678,0.000127117,0.000127117,0.000127117
147,11485.6,0.53986,0.32566,0.97323,0.92975,0.88671,0.93524,0.67688,1.21607,0.89685,1.57927,0.00011736,0.00011736,0.00011736
148,11562.8,0.53408,0.32316,0.97053,0.92256,0.88671,0.93539,0.67749,1.21635,0.89485,1.58097,0.000109768,0.000109768,0.000109768
149,11640.1,0.52921,0.32042,0.96657,0.92003,0.88671,0.93512,0.67732,1.21623,0.89649,1.58214,0.000104342,0.000104342,0.000104342
150,11717.8,0.5273,0.31704,0.96365,0.92081,0.88671,0.93507,0.67676,1.21605,0.89839,1.5829,0.000101086,0.000101086,0.000101086
