epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,1847.57,1.18565,1.2432,1.35977,0.73158,0.71942,0.75949,0.37459,1.88005,1.58679,1.84477,0.00164583,0.00164583,0.00164583
141,1860.47,1.15357,1.21611,1.34819,0.73213,0.75127,0.78346,0.38993,1.78492,1.59022,1.81746,0.00164105,0.00164105,0.00164105
142,1873.52,1.17559,1.23125,1.36435,0.80512,0.69543,0.77301,0.37846,1.82912,1.59547,1.80555,0.00163624,0.00163624,0.00163624
143,1886.41,1.15876,1.27926,1.35143,0.81603,0.69802,0.79591,0.3826,1.82957,1.58375,1.83701,0.00163141,0.00163141,0.00163141
144,1899.52,1.15039,1.25237,1.34613,0.84163,0.68528,0.79785,0.39868,1.75108,1.50329,1.75946,0.00162656,0.00162656,0.00162656
145,1912.52,1.16543,1.26,1.34313,0.76778,0.70488,0.77813,0.40002,1.78379,1.56626,1.77341,0.00162168,0.00162168,0.00162168
146,1925.61,1.13835,1.21579,1.34044,0.73904,0.72589,0.78337,0.40234,1.7547,1.52491,1.77356,0.00161678,0.00161678,0.00161678
147,1938.52,1.13413,1.20971,1.32872,0.80293,0.71574,0.77754,0.39345,1.76987,1.51081,1.74401,0.00161185,0.00161185,0.00161185
148,1951.62,1.11956,1.20681,1.32528,0.79193,0.7335,0.79684,0.42328,1.77048,1.47806,1.77547,0.0016069,0.0016069,0.0016069
149,1964.58,1.1103,1.16537,1.30813,0.78149,0.70305,0.78359,0.40368,1.74705,1.48458,1.73797,0.00160193,0.00160193,0.00160193
150,1977.55,1.16489,1.28429,1.35511,0.80169,0.70795,0.78922,0.39808,1.82343,1.50522,1.81965,0.00159693,0.00159693,0.00159693
151,1990.62,1.14606,1.22643,1.34011,0.80826,0.63198,0.74315,0.375,1.8078,1.56922,1.84795,0.00159191,0.00159191,0.00159191
152,2003.41,1.16938,1.23905,1.34217,0.76822,0.71503,0.76171,0.3841,1.80484,1.52233,1.84126,0.00158686,0.00158686,0.00158686
153,2016.5,1.11514,1.19506,1.31665,0.75919,0.71215,0.76808,0.39527,1.8069,1.45581,1.80753,0.0015818,0.0015818,0.0015818
154,2029.51,1.1212,1.20881,1.32932,0.8202,0.68312,0.78798,0.40618,1.73443,1.4563,1.75354,0.00157671,0.00157671,0.00157671
155,2042.37,1.13761,1.1998,1.32666,0.75802,0.70305,0.75353,0.38592,1.77836,1.51352,1.7792,0.0015716,0.0015716,0.0015716
156,2055.3,1.1352,1.16845,1.32379,0.8037,0.67259,0.77014,0.39478,1.79418,1.53753,1.78835,0.00156646,0.00156646,0.00156646
157,2068.23,1.09782,1.18357,1.31056,0.78248,0.6802,0.76698,0.39811,1.79335,1.52384,1.82063,0.00156131,0.00156131,0.00156131
158,2081.08,1.10223,1.13908,1.31006,0.8047,0.70065,0.77829,0.38149,1.79853,1.51208,1.84203,0.00155613,0.00155613,0.00155613
159,2093.89,1.10548,1.15893,1.31107,0.78092,0.70565,0.76457,0.38249,1.7678,1.56771,1.80365,0.00155093,0.00155093,0.00155093
160,2106.75,1.09354,1.14656,1.30436,0.7273,0.71753,0.75925,0.4042,1.74889,1.51417,1.78743,0.00154571,0.00154571,0.00154571
